Time period:,7days
Total Problem Count,528

Problem Name,Problem Count,Problems/Day
CUSTOM_DEVICE-C6847DD57C096D86,Cisco network device cisco#0 @ 192.168.2.13:161,14,2.0
HTTP_CHECK-1A6D3C6566B45A64,easytravel storebooking,14,2.0
SERVICE-405479618179AA1E,JourneyService,14,2.0
SERVICE-989BF1FCABC64E35,AuthenticationService,14,2.0
HOST-3873B1D6B9280D7C,cpu1-demo1,14,2.0
SERVICE-344544174B4CB14D,Third Party Currency Converter,12,1.7142857142857142
SERVICE-119245B91029D790,Oauth 2 / Open ID / Identity Server,12,1.7142857142857142
APPLICATION-7F6ACE5C74505040,www.vmware.easytravel.com,10,1.4285714285714286
HOST-CDF565776844547D,weblauncher-demo.c.dynatrace-demoability.internal,9,1.2857142857142858
PROCESS_GROUP_INSTANCE-D811F905449DAC00,webserver,8,1.1428571428571428
HOST-2CACFA56307CF0EA,frontend,8,1.1428571428571428
SERVICE-CDB19ADEBE7C9810,[eks][easytrade] :80,8,1.1428571428571428
HOST-A602AF91A3E8AEE4,BB2-apache-tomcatjms-iis,8,1.1428571428571428
SERVICE-C88D06B48586D544,[eks][easytrade] easytrade_offer_service,8,1.1428571428571428
SERVICE-CA25620C434E5D48,[eks][easytrade] BrokerService,7,1.0
SERVICE-9E03EFC879357717,TradeManagement,7,1.0
SERVICE-ABFA0853391003A6,DTMD on CICS,7,1.0
SYNTHETIC_TEST-347006363413D3E0,angular easytravel abandon,7,1.0
CUSTOM_DEVICE-E64BEFA7CFFCE280,DB1,7,1.0
SYNTHETIC_TEST-0985CD8C47FF1DB1,Online Boutique - OpenTelemetry,7,1.0
SERVICE-26D9443709C29EFC,CheckDestination,7,1.0
SERVICE-1BD922B66D15648A,[gke][online-boutique] hipstershop.CheckoutService,7,1.0
SERVICE-85AA142B301AA7C7,Reverse Proxy,7,1.0
SERVICE-6E600049C10C9BE2,[gke][online-boutique] :8080,7,1.0
SERVICE-43D8D6455AB8EA3F,DB1,7,1.0
SERVICE-6B4750F0D8C7C242,BookingService,7,1.0
SERVICE-A7FA5D53D3CD8439,azure EasytravelService,7,1.0
SERVICE-C0E35147A3F288AF,azure CheckDestination,7,1.0
SERVICE-BD350034ABFA2FB8,azure JourneyService,7,1.0
HOST-40C1FE1DDE587CBE,easytravelazure-backend1.eewhjl1db2uunilgfoyhewaccf.ax.internal.cloudapp.net,7,1.0
APPLICATION-0EE43A1512518A60,www.azure.easytravel.com,7,1.0
PROCESS_GROUP_INSTANCE-427A20D6EF42DBB8,CouchDB_ET,7,1.0
SERVICE-7096642554525BFD,CouchDB_ET on port 5984,7,1.0
HOST-AA3F68D5C99A5F09,cpu3-demo1,7,1.0
HOST-72B6B487804FE21F,cpu4-demo1,7,1.0
HYPERVISOR-CC0FF3844F680C22,pl1l-vh90.lab.dynatrace.org,7,1.0
SERVICE-957B5918CC00FF43,JourneyService,7,1.0
HOST-4A71599566228A76,cpu2-demo1,7,1.0
SERVICE-61BED6683B252ACA,easyTravel Customer Frontend,7,1.0
SERVICE-2BA214FC741C6725,CheckDestination,7,1.0
HOST-99823C0718B3C21D,easytravel-demo1,7,1.0
SERVICE-1415F628F6B089C1,[eks][prod] hipstershop.AdService,7,1.0
APPLICATION-F80C45F85F795999,HipsterShopLogs,7,1.0
CLOUD_APPLICATION-B45BBD1AD560E1B3,unguard-user-simulator,6,0.8571428571428571
